t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5073,7892,48,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,5,0,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,6,order,0,31,25,22,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,1,district,0,31415,0,28930,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,8604,0,17014,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,2,customer,0,6,0,9,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,4,history,0,0,0,0,0,0,0,0,0,0
12,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,12.6518,829151,100,0,0,0,0,0,0,0,0,67.382,0,0,0,5413029,0,0,14.988,0,0,0,53364,0,788428,77940.7,64731,844.987,172.825,434.266,19017.3,0.830516,14.988,4.09842,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,207,95,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,10,stock,0,106,0,381,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5122,8291,50,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,6,0,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,6,order,0,38,30,23,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,1,district,0,31960,0,29306,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,8697,0,17049,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,2,customer,0,8,0,8,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,4,history,0,0,0,0,0,0,0,0,0,0
13,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,13.4608,882164,100,0,0,0,0,0,0,0,0,65.2966,0,0,0,5623467,0,0,14.9882,0,0,0,54037,0,800070,76817.7,64590.7,839.206,169.118,432.392,18740.7,0.840831,14.9882,4.09897,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,190,118,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,10,stock,0,101,0,383,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5758,8386,41,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,10,1,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,6,order,0,35,22,24,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,1,district,0,31969,0,29250,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,8668,0,17232,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,2,customer,0,11,0,10,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,4,history,0,0,2,0,0,0,0,0,0,0
14,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,14.2697,935177,100,0,0,0,0,0,0,0,0,63.211,0,0,0,5631571,0,0,14.9882,0,0,0,54036,0,799414,76885.7,64605.5,840.562,169.481,432.042,18756,0.84028,14.9882,4.09925,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,232,105,0,0,0,0,0,0
15,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.0777,988129,100,0,0,0,0,0,0,0,0,61.128,0,0,0,5543351,0,0,14.9886,0,0,0,53973,0,795601,77251,64755.5,842.548,171.241,432.369,18846.5,0.838249,14.9886,4.09895,0,0,0,0,0,0,0,0,0,0,10,stock,0,108,0,373,0,0,0,0,0,0
